"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier","LCSC Price","Link"
"1","1","4kHz","BUZZER1","BUZ-TH_BD12.5-P6.50-D1.4","4kHz","1207-P6.5MM","XHXDZ(兴华鑫)","C49246964","LCSC","","https://www.lcsc.com/product-detail/C49246964.html"
"2","1","B2B-PH-K-S-GW","CN1","CONN-TH_B2B-PH-K-S","","B2B-PH-K-S-GW","JST","C5251182","LCSC","","https://www.lcsc.com/product-detail/C5251182.html"
"3","2","TL1100CF160Q","KEY1 KEY2","KEY-TH_TL1100CF160Q","","TL1100CF160Q","E-Switch","C273459","LCSC","","https://www.lcsc.com/product-detail/C273459.html"
"4","1","2.2K","R1","R0603","2.2K","","","","","12.0978",""
"5","1","Joystick","SW1","SW-SMD-6P-L10.5-W10.0_C2858290","","Joystick","SHOU HAN(首韩)","C2858290","LCSC","","https://www.lcsc.com/product-detail/C2858290.html"
"6","4","F1B060211S","SW2 SW3 SW4 SW5","SW-TH_4P-L4.5-W4.5-P3.00-LS4.8","","F1B060211S","SAMZO(三佐)","C29780794","LCSC","","https://www.lcsc.com/product-detail/C29780794.html"
"7","1","XIAO-ESP32-C3","U1","Seeed_Studio_XIAO_Series:XIAO-ESP32-C3-SMD","XIAO-ESP32-C3-SMD","","","","12.0978","https://www.seeedstudio.com/XIAO-ESP32C3-p-5431.html",""
"8","1","HS96L03W2C03","U2","OLED-TH_L27.8-W27.2-P2.54_C9900033791","","HS96L03W2C03","HS(汉昇)","C5248080","LCSC","","https://www.lcsc.com/product-detail/C5248080.html"
"9","1","PCA9535PW","U3","TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL","","PCA9535PW","NXP(恩智浦)","C129517","LCSC","","https://www.lcsc.com/product-detail/C129517.html"
"10","1","LSM6DSOXTR","U4","LGA-14L_L3.0-W2.5-P0.50-TL","","LSM6DSOXTR","ST(意法半导体)","C481766","LCSC","","https://www.lcsc.com/product-detail/C481766.html"
